	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MYOCD	72.7537096750876	2.43125763345669	0.345694937264474	7.03295701318488	2.0220167820076e-12	9.66221253210342e-12
MYOD1	94.8260084919711	-1.17415090178449	0.298390204636516	-3.93495122674948	8.32135930277238e-05	0.00017169570596277
Mypop	456.010464915966	-1.39216486912968	0.150391206917148	-9.25695655794981	2.10342160992304e-20	2.50230713100048e-19
MYSM1	373.414377223399	1.89598566471347	0.216333591592484	8.76417596895917	1.88147754635602e-18	1.79311571363372e-17
Myt1	41.7988372576199	1.62414949440016	0.566238873246509	2.86831153977147	0.00412668967041436	0.00685419938562937
Mzt1	182.67407192045	2.48980519720374	0.259103463370783	9.6093088251807	7.30376018979103e-22	1.03736324320744e-20
N4BP2	133.774274000558	3.37937430170374	0.260443221170882	12.9754742185686	1.68549918395341e-38	1.48150562557551e-36
N4BP3	545.117163560764	-1.41647917779748	0.171708345987226	-8.249332143138	1.5928216519133e-16	1.20991519257928e-15
N6AMT1	300.806111053257	1.00003203791053	0.136507631392339	7.32583246599832	2.37420245560232e-13	1.26148470369862e-12
NAA15	1033.22480242942	1.47504161411757	0.128475646693559	11.4810989637269	1.64180300573374e-30	6.45181154728127e-29
NAA25	512.042616801135	1.6916045896967	0.173996035602819	9.72208696500494	2.42754209953514e-22	3.68249039201672e-21
Naa38	1113.48021667219	-1.35774446508031	0.177601291774479	-7.64490196841809	2.09104578008477e-14	1.24043448473829e-13
NAALADL2	61.1585797696104	3.8023180168862	0.392556723747548	9.68603462090097	3.45690462994805e-22	5.11781588237352e-21
NAB1	1960.6730325557	1.22564633759201	0.111985289653733	10.9447083753751	7.04440532413615e-28	2.07978968706069e-26
Nadk2	251.875064994772	1.56162615602247	0.222816365540927	7.00857924969442	2.40750244790139e-12	1.13910189645091e-11
NAE1	305.147750784053	1.33576594177132	0.200786805780112	6.65265796017571	2.87846616633104e-11	1.21572121280901e-10
NAGS	2.42430271656944	-4.30243966774561	1.64586599478529	-2.61408868120329	0.00894658115598905	0.0141380964473429
Nalcn	337.95947252321	2.21379042211235	0.288853704185408	7.66405412163723	1.80153919271675e-14	1.07994060258648e-13
NANS	1476.79347401867	-1.2650526056236	0.135292249009193	-9.35051797045407	8.72195334058304e-21	1.08281748413921e-19
Napa	3577.30585347418	-1.34650398817776	0.161715595245928	-8.32637066406654	8.33585220253681e-17	6.52197754727473e-16
NAPEPLD	130.921645495597	1.65023791589816	0.272904111519037	6.04695146112905	1.47612204834808e-09	5.17096546292193e-09
NAPSA	835.650018173304	-1.5169965617091	0.228058758933982	-6.65177943088005	2.89570445939488e-11	1.22233057064797e-10
NARS2	293.856748634981	1.33432449884422	0.260259600727121	5.12689827816665	2.94554557087085e-07	8.04052918742421e-07
NAT14	1071.46570453968	-1.16555627391446	0.164751749247484	-7.07462153960869	1.49857175327304e-12	7.28310606914562e-12
NAV3	144.978881789026	1.91601846526668	0.40046519725091	4.78448184366496	1.71428991954112e-06	4.29886004929597e-06
NAXD	3748.73487542984	-1.16694920023441	0.14410348042321	-8.09799455785007	5.58725679815978e-16	3.98623302733274e-15
NBEAL1	401.006716645292	2.38784201784112	0.160452808401819	14.8818960641766	4.32078552962054e-50	9.63222072704683e-48
NBL1	8136.95611864192	-1.31065027207221	0.12666428868595	-10.3474332479127	4.2985552479848e-25	9.35224566117428e-24
NBN	959.850200996053	1.0645918261109	0.138771967658871	7.67151928498898	1.69970916828372e-14	1.02529123241334e-13
NCAM2	115.872133884494	3.00473598916539	0.324648349022304	9.25535582797299	2.13518027405263e-20	2.53812542314355e-19
NCCRP1	10.1853676415627	-1.327377735438	0.612322977176904	-2.16777384634141	0.0301758976715761	0.0441222108349984
Ncf1	246.78076700695	-1.32837726855538	0.212082818551786	-6.26348365995057	3.76470621031688e-10	1.40691717509947e-09
NCF4	931.413941809558	-1.64769987764183	0.176103049210006	-9.35645285549212	8.24585449087178e-21	1.02702618444202e-19
NCKAP1	3242.37476323301	1.38922999377654	0.139828237426468	9.93526071232281	2.92410022758321e-23	5.02466582819792e-22
