	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
VAPA	2101.86986309994	0.0385850800051726	0.0835790892658549	0.461659493350522	0.644325523471435	0.696976235019002	NOT
VAPB	2497.4487863626	-0.618318521760256	0.077501453457988	-7.97815388191957	1.48538140832509e-15	1.01097950543613e-14	NOT
Vars1	1703.23310913039	-0.854823393511858	0.0972907124367943	-8.78627951323927	1.54594664992748e-18	1.48530614423388e-17	NOT
VARS2	873.029972581609	-0.294398646241862	0.143610112773535	-2.04998548191457	0.0403658475658792	0.0577857112385625	NOT
VASH1	4257.07408947764	-0.075126017819505	0.145332575869373	-0.516924835124572	0.605208630190034	0.661126280064136	NOT
VASH2	577.426495678127	1.19664598207215	0.138247720497916	8.65580985901452	4.89423955272361e-18	4.45199247782345e-17	UP
VASN	2034.46365240492	-0.524185821240395	0.0916988695315295	-5.71638258921132	1.08815593596243e-08	3.45465706726086e-08	NOT
Vasp	1105.74299217799	-0.532044990866008	0.106778412931488	-4.98270180516155	6.27025410606119e-07	1.65435760993882e-06	NOT
Vat1	12936.7974350922	-1.39058739854231	0.168336434992911	-8.26076302852006	1.44744190148057e-16	1.10548914243169e-15	DOWN
VAT1L	1855.8679737944	0.293999629306041	0.191984393133923	1.53137254808496	0.125677344752944	0.163136617467492	NOT
VAV1	125.864501825779	-0.710156007007388	0.227450803777593	-3.12224004141922	0.00179480534086703	0.00312551746328728	NOT
Vav2	1524.86378208124	-0.467635536692307	0.128436649302874	-3.64098206571512	0.000271600057395003	0.000524909169851732	NOT
VAV3	138.590036001426	1.11775615155789	0.302242444819176	3.69821039605014	0.00021712488778182	0.000425021000745732	UP
Vax1	22.8843689631582	-0.218834057617091	0.585271433513851	-0.373901825864379	0.708477357975577	0.754747470072743	NOT
VAX2	70.0236110581708	-1.17362042144204	0.351650643147914	-3.33746132506968	0.000845474874924745	0.00153633721513201	DOWN
VBP1	1310.88756503484	0.436837774809056	0.11836472851987	3.69060766895369	0.000223718968269057	0.000436872561878207	NOT
VCAM1	8690.27344739086	0.600972104883866	0.173824169325113	3.45735640341151	0.000545502876825387	0.00101905820395046	NOT
VCAN	1806.58385642521	-0.296746881693272	0.211161362223228	-1.40530861597477	0.159929527395525	0.202923038059718	NOT
VCL	2877.87846942491	0.69650457214946	0.149347878003696	4.66363889102077	3.10666337343723e-06	7.58037690517314e-06	NOT
