	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
Gm15327	-0.020554856495182	0.252817491900633	-0.318264344279371	0.756656607454461	0.999697470640244	-5.45595816283672	NOT
Smug1	0.0395544405966061	5.57910740738461	0.318227668809862	0.756683631819121	0.999697470640244	-5.45596876130362	NOT
Nrip1	0.0219302014387281	5.81837529445606	0.318192965756637	0.75670920312199	0.999697470640244	-5.45597878868313	NOT
D130004A15Rik	-0.0192082521919747	1.48255868123735	-0.318172538170451	0.756724255543122	0.999697470640244	-5.45598469069459	NOT
Osbpl1a	-0.014547281029579	4.12393305892178	-0.318001441579965	0.756850335206355	0.999697470640244	-5.45603410999499	NOT
Gm13302	0.0215333891519318	0.378936403486272	0.317979973463448	0.756866155410356	0.999697470640244	-5.45604030898145	NOT
Copa	0.0128261087089492	6.37122765872991	0.317977673406451	0.756867850366702	0.999697470640244	-5.45604097310592	NOT
Gm5835	0.0408115327853868	2.07758076421742	0.317970836567528	0.75687288857307	0.999697470640244	-5.45604294716493	NOT
Elk4	0.0152910298911776	4.28486222067648	0.317963683074473	0.756878160141082	0.999697470640244	-5.45604501260979	NOT
AC102368.2	0.00889404505295628	0.0396554016222005	0.317865785154934	0.756950304602792	0.999697470640244	-5.45607327434267	NOT
Drd1	-0.0311591617553924	4.29696504670177	-0.317754932923209	0.757031998503294	0.999697470640244	-5.45610526553233	NOT
Gm8768	0.00801099003336482	0.0487251321082561	0.317557673232375	0.757177379163978	0.999697470640244	-5.45616216634834	NOT
Gm18131	-0.00837893300451083	0.0347181756195637	-0.317491890832223	0.757225863083048	0.999697470640244	-5.45618113402253	NOT
Spc25	-0.0417109855120837	4.61209880622678	-0.317470649966442	0.757241518575629	0.999697470640244	-5.45618725778603	NOT
Cntn4	0.00983204336171239	4.67377505172489	0.317455465513813	0.757252710284175	0.999697470640244	-5.45619163523391	NOT
Gmfg-ps	-0.00807938521811413	0.0226585221759146	-0.317360430709412	0.757322757066672	0.999697470640244	-5.45621902768127	NOT
Ephx1	0.0569916015444543	1.74962981704348	0.317349159085951	0.757331065132708	0.999697470640244	-5.45622227603663	NOT
D730044K07Rik	-0.024763546189779	0.646923672462355	-0.31732552470207	0.757348485622708	0.999697470640244	-5.45622908683465	NOT
Fgd4	-0.0133664582455883	6.38370714542364	-0.317321048230036	0.757351785167754	0.999697470640244	-5.45623037677845	NOT
Rbp3	0.0183557124986231	9.68974662323232	0.31731099453947	0.757359195621288	0.999697470640244	-5.45623327379323	NOT
Tcf4	0.0125250970220636	6.34142145332209	0.317219453348353	0.757426670706133	0.999697470640244	-5.45625964765925	NOT
Paqr7	0.0350397722792698	2.70774316858596	0.317125036108261	0.757496267959548	0.999697470640244	-5.45628684234951	NOT
Gm29763	0.00879392676169377	0.0482780391337322	0.317034469740259	0.757563028768953	0.999697470640244	-5.45631292045031	NOT
Pcyt1a	-0.0144490462307749	4.03642376290127	-0.316939190783849	0.757633265701502	0.999697470640244	-5.45634034765693	NOT
Gm11732	0.0118880378419446	0.111986937908076	0.31691662732169	0.757649899180625	0.999697470640244	-5.45634684164388	NOT
Atg2b	-0.016562804267384	5.66434447980127	-0.316911766096078	0.75765348282732	0.999697470640244	-5.45634824069338	NOT
Atp6v0b	-0.0415464899080869	5.03876896494333	-0.316902302598441	0.757660459239932	0.999697470640244	-5.45635096420598	NOT
Pwwp3b	-0.0223064144395085	1.29599801264938	-0.316733332935864	0.7577850261117	0.999697470640244	-5.45639957882882	NOT
Fam193b	-0.0107839127470275	5.853044852418	-0.316728260538135	0.757788765668472	0.999697470640244	-5.45640103782738	NOT
Gpm6b	0.00993584248418614	6.32778498580303	0.316711359695874	0.757801225633459	0.999697470640244	-5.45640589893446	NOT
Arhgap35	0.00995029388758314	6.09438835865991	0.316542250304195	0.757925903711845	0.999697470640244	-5.45645452508453	NOT
Faf2	0.0136570130319223	4.75502046800084	0.316535690275895	0.757930740323404	0.999697470640244	-5.45645641086046	NOT
Eif2a	0.0136886339541928	3.60934254099053	0.316488605991141	0.757965455188412	0.999697470640244	-5.45646994480454	NOT
Gm48139	-0.0241685422541188	2.75850331876692	-0.316470323723448	0.757978934709077	0.999697470640244	-5.4564751993436	NOT
Car1	0.00751317445424987	0.0277153546047092	0.316462680199582	0.757984570306309	0.999697470640244	-5.45647739609442	NOT
Gm5216	-0.009605525004473	0.116928739670862	-0.316441098180238	0.758000482885617	0.999697470640244	-5.45648359849262	NOT
Cox5b	-0.0155241267474912	3.91783998064856	-0.316436919037949	0.75800356421117	0.999697470640244	-5.45648479947724	NOT
Brsk2	-0.0162925377446179	5.04651634163765	-0.316347717740287	0.75806933432173	0.999697470640244	-5.45651043007971	NOT
Elmo3	0.0260618174602096	1.79550720923752	0.316320627174745	0.758089309200526	0.999697470640244	-5.45651821273303	NOT
Gm37009	0.0110950774035285	0.039345890546247	0.316290564840127	0.758111475492627	0.999697470640244	-5.45652684836181	NOT
Actrt3	-0.0125242112508178	0.146283839542798	-0.316180018567137	0.758192988130218	0.999697470640244	-5.45655859669955	NOT
Gm5581	-0.00951112918380204	0.0429440690544635	-0.316140447519321	0.758222167075705	0.999697470640244	-5.45656995867004	NOT
Gm37716	-0.0273390549158054	0.644500849313573	-0.316088906821053	0.758260172810848	0.999697470640244	-5.4565847553822	NOT
Gm2991	0.020566362460002	0.432259389424694	0.316081625231901	0.758265542255849	0.999697470640244	-5.45658684564839	NOT
Clta	-0.0238144569852187	4.69549292739706	-0.315991093160892	0.75833230174085	0.999697470640244	-5.45661283001795	NOT
Tm6sf2	0.0214441093085956	0.958243759979323	0.315967915638096	0.758349393470664	0.999697470640244	-5.45661948122336	NOT
Fndc10	-0.0172368172446743	2.3115290704478	-0.31592511666737	0.758380954942365	0.999697470640244	-5.45663176190126	NOT
Rps8	0.0256911292331297	3.47379536387981	0.315925101417908	0.758380966187939	0.999697470640244	-5.45663176627663	NOT
Lemd1	-0.0328157332397902	0.738499826514483	-0.315885419037077	0.75841022979074	0.999697470640244	-5.45664315123097	NOT
Lhx2	-0.0251841642867966	2.24355792767745	-0.315879206801753	0.758414811013321	0.999697470640244	-5.45664493340713	NOT
Ffar4	0.0118663721454846	0.0559111553539986	0.315876514965892	0.758416796114888	0.999697470640244	-5.45664570563473	NOT
Ropn1l	0.008258055560366	0.0276733737889824	0.315653777409573	0.75858106087673	0.999697470640244	-5.45670958177538	NOT
Gm43571	0.0208821162198223	3.07501600389019	0.3156387076572	0.758592174989308	0.999697470640244	-5.45671390185175	NOT
Slc39a11	-0.0473109584210143	1.17094128351873	-0.315635740062003	0.758594363631054	0.999697470640244	-5.4567147525545	NOT
Bpifb6	0.0105902915488072	0.0617605139711088	0.31557606628027	0.758638374328013	0.999697470640244	-5.45673185722075	NOT
Psme4	0.0197719999761752	5.1869825173448	0.315513010761884	0.758684880107168	0.999697470640244	-5.45674992777946	NOT
Gm9176	-0.0148555870084493	0.114954366683135	-0.315510070042935	0.758687049020802	0.999697470640244	-5.45675077044958	NOT
Yes1	0.0164359858812008	4.34833655844801	0.315403360152152	0.758765753885636	0.999697470640244	-5.45678134323189	NOT
2010016I18Rik	0.00946842652073487	0.0606050889769444	0.315372452247404	0.758788550833764	0.999697470640244	-5.45679019657362	NOT
Gm48297	-0.00728300520106092	0.040380047082779	-0.315339516131106	0.758812844009113	0.999697470640244	-5.45679962994804	NOT
Rnf157	-0.011978555670852	5.92622872436026	-0.315334934976855	0.758816223020104	0.999697470640244	-5.45680094197978	NOT
Gm47098	-0.0144182428139104	0.0780491248616943	-0.315331010012123	0.758819118036856	0.999697470640244	-5.45680206606557	NOT
Myo15	0.0146950482146845	0.454707964589585	0.315194494667209	0.758919812882972	0.999697470640244	-5.45684115470963	NOT
AI507597	0.0108472985453938	0.0781175123432594	0.315152296157054	0.75895093980549	0.999697470640244	-5.45685323412417	NOT
Itprid2	0.0206341714115272	3.96433401334419	0.315016391475921	0.759051190347016	0.999697470640244	-5.45689212638513	NOT
Maats1	-0.0104677730223175	0.0790314077750314	-0.3149759179906	0.759081046650017	0.999697470640244	-5.4569037056374	NOT
Gm48438	-0.0129602146956387	0.176679922318168	-0.314947893634109	0.759101719776676	0.999697470640244	-5.45691172240674	NOT
Tubgcp3	-0.0143103116548916	4.26226554645961	-0.314901447106913	0.759135983085364	0.999697470640244	-5.45692500756656	NOT
Gm36684	0.00879042645323472	0.0292358795552097	0.314816189200667	0.759198878719755	0.999697470640244	-5.45694938900909	NOT
Krt18	-0.0608056487753456	3.63286558695905	-0.314715845555858	0.759272905609026	0.999697470640244	-5.45697807629295	NOT
Wiz	-0.017806040172977	2.92997100617095	-0.314686476812039	0.759294572402004	0.999697470640244	-5.45698647084304	NOT
Ehf	-0.0269211960241909	0.500700069869568	-0.31461422594989	0.759347876407257	0.999697470640244	-5.4570071192486	NOT
Gm6478	-0.02286594892565	0.5023065349141	-0.31458930622971	0.759366261557609	0.999697470640244	-5.45701423992212	NOT
Gorasp1	-0.0205237935959211	2.88649784088738	-0.314523432806895	0.759414862086461	0.999697470640244	-5.45703306023599	NOT
