ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:1903561	extracellular vesicle	6/663	131/28829	0.0458015267175573	1.99157196642603	1.74516102635592	0.0823864432567784	0.306957218426028	0.257844063477863	Myoc/Cubn/Slc9a3/Cd63/Rab4a/Slc2a4	6
CC	GO:0098554	cytoplasmic side of endoplasmic reticulum membrane	2/663	21/28829	0.0952380952380952	4.14120520002873	2.20928037289416	0.0831917013357625	0.306957218426028	0.257844063477863	Otulinl/Alg14	2
CC	GO:0045171	intercellular bridge	5/663	101/28829	0.0495049504950495	2.15260666338127	1.78028917127435	0.0837548913244454	0.306957218426028	0.257844063477863	Cdc6/Phldb1/Rab11fip3/Trim45/Mical1	5
CC	GO:0098802	plasma membrane signaling receptor complex	8/663	196/28829	0.0408163265306122	1.77480222858374	1.66988630760991	0.0841062778487316	0.306957218426028	0.257844063477863	Shisa8/Itga3/Itgb8/Itgb1/Trf/Ramp1/Itgbl1/Itga6	8
CC	GO:0036464	cytoplasmic ribonucleoprotein granule	10/663	265/28829	0.0377358490566038	1.64085489057742	1.60795748294253	0.0871718213817444	0.314833782837894	0.264460377583831	Pcbp1/Ddx4/Trim12c/Larp4/Trim12a/C9orf72/Rac1/Pqbp1/Dyrk3/Psmc2	10
CC	GO:0000791	euchromatin	4/663	73/28829	0.0547945205479452	2.38261121097543	1.81467434771614	0.0875237916289346	0.314833782837894	0.264460377583831	Zc3h8/Cbx2/Nr1h4/Tcf7	4
CC	GO:0033162	melanosome membrane	2/663	22/28829	0.0909090909090909	3.95296860002742	2.12580089960675	0.090164290091333	0.315259755564101	0.264818194673845	Oca2/Th	2
CC	GO:0045009	chitosome	2/663	22/28829	0.0909090909090909	3.95296860002742	2.12580089960675	0.090164290091333	0.315259755564101	0.264818194673845	Oca2/Th	2
CC	GO:0070822	Sin3-type complex	2/663	22/28829	0.0909090909090909	3.95296860002742	2.12580089960675	0.090164290091333	0.315259755564101	0.264818194673845	Sinhcaf/Sap30	2
CC	GO:0090741	pigment granule membrane	2/663	22/28829	0.0909090909090909	3.95296860002742	2.12580089960675	0.090164290091333	0.315259755564101	0.264818194673845	Oca2/Th	2
CC	GO:0060170	ciliary membrane	4/663	74/28829	0.0540540540540541	2.35041376217847	1.78454483043389	0.0909334343080098	0.315741091347256	0.265222516731695	Tas2r108/Smo/Gpr157/Tmem17	4
CC	GO:0043292	contractile muscle fiber	10/663	268/28829	0.0373134328358209	1.62248711195155	1.5707696089219	0.092184919024303	0.317879031118286	0.26701838613936	Scn5a/Myh11/Myo18b/Cavin4/Synpo/Ablim2/Myl12a/Myzap/Kcnn1/Prickle4	10
CC	GO:0097386	glial cell projection	3/663	47/28829	0.0638297872340425	2.77548859150862	1.86899338398331	0.0934725056789774	0.320111320818416	0.268893509487469	Ezr/Itgb1/Slc7a11	3
CC	GO:0005838	proteasome regulatory particle	2/663	23/28829	0.0869565217391304	3.78110040002623	2.04710698796766	0.0973012965208456	0.323341717473255	0.271607042677534	Psmc2/Adrm1b	2
CC	GO:0031258	lamellipodium membrane	2/663	23/28829	0.0869565217391304	3.78110040002623	2.04710698796766	0.0973012965208456	0.323341717473255	0.271607042677534	Epha2/Pdpn	2
CC	GO:0032045	guanyl-nucleotide exchange factor complex	2/663	23/28829	0.0869565217391304	3.78110040002623	2.04710698796766	0.0973012965208456	0.323341717473255	0.271607042677534	Rap1a/C9orf72	2
CC	GO:0032982	myosin filament	2/663	23/28829	0.0869565217391304	3.78110040002623	2.04710698796766	0.0973012965208456	0.323341717473255	0.271607042677534	Myh11/Myo18b	2
CC	GO:0002102	podosome	3/663	48/28829	0.0625	2.71766591251885	1.82729139652757	0.0980850540257818	0.323341717473255	0.271607042677534	Arhgef5/Tns3/Actr2	3
CC	GO:0009898	cytoplasmic side of plasma membrane	7/663	170/28829	0.0411764705882353	1.79046224824772	1.58590260007625	0.0984269923036774	0.323341717473255	0.271607042677534	Gnai3/Gnal/Myzap/Fes/Shroom4/Myd88/Th	7
CC	GO:0030315	T-tubule	4/663	77/28829	0.051948051948052	2.25883920001567	1.69700461907715	0.101534714821144	0.323341717473255	0.271607042677534	Scn5a/Ezr/Slc30a1/Slc2a4	4
CC	GO:0044232	organelle membrane contact site	3/663	49/28829	0.0612244897959184	2.66220334287561	1.78664484249878	0.102787775068275	0.323341717473255	0.271607042677534	Clstn3/Atg16l1/Vps13a	3
CC	GO:0044295	axonal growth cone	3/663	49/28829	0.0612244897959184	2.66220334287561	1.78664484249878	0.102787775068275	0.323341717473255	0.271607042677534	Flrt3/C9orf72/Smo	3
CC	GO:0030672	synaptic vesicle membrane	7/663	172/28829	0.0406976744186047	1.76964291977972	1.5532436025513	0.103041818366126	0.323341717473255	0.271607042677534	Rab26/Vamp3/Mctp1/Sypl2/Rac1/Sh3gl2/Rab4a	7
CC	GO:0043296	apical junction complex	7/663	172/28829	0.0406976744186047	1.76964291977972	1.5532436025513	0.103041818366126	0.323341717473255	0.271607042677534	Cldn15/Synpo/Adcyap1r1/Ctnnd1/Nectin3/Shroom4/Yap1	7
