	logFC	AveExpr	t	P.Value	adj.P.Val	B
B930086L07Rik	-0.108741609212125	3.55407043399213	-1.40197633126722	0.190848047099595	0.999789400686269	-4.55159232655923
Gm43748	0.0596190699130267	0.11011578983221	1.4018178841151	0.190894026093578	0.999789400686269	-4.55173526619418
Slc35e1	0.0521488874219621	5.02215146137623	1.40171616888489	0.190923547285064	0.999789400686269	-4.55182702145344
Cntnap4	0.129535820682765	4.9051232586	1.40169554017468	0.190929534905141	0.999789400686269	-4.55184562972863
Gm50399	0.057774449550147	0.0457747660421009	1.40168522047795	0.190932530325405	0.999789400686269	-4.55185493862537
Kcnip4	-0.287118045117549	2.16567780970546	-1.4014582670317	0.190998416465101	0.999789400686269	-4.5520596522971
Zfp39	0.104262999945756	2.81562009729473	1.40129410313027	0.191046086390716	0.999789400686269	-4.55220771741497
Dnajc6	0.174096297343561	3.92348753959211	1.40129153386772	0.191046832533571	0.999789400686269	-4.55221003464243
Tnrc18	-0.183437881114286	4.99225489079502	-1.40070957271461	0.19121590432989	0.999789400686269	-4.552734844368
Msh4	0.0675992464338477	0.222842197868041	1.40059791229281	0.191248358507697	0.999789400686269	-4.55283552479673
Gpr139	0.175432135771357	0.844268312828886	1.40049973100096	0.191276898827081	0.999789400686269	-4.55292404771927
Pcyt1a	-0.080414842801427	5.23389426468575	-1.40035542315169	0.191318854231887	0.999789400686269	-4.55305415309373
Gm13166	-0.141303724502988	0.316645818874711	-1.39963616532597	0.19152808437576	0.999789400686269	-4.55370250754246
Gm14221	-0.0841404139251457	0.198493696249626	-1.39963373651987	0.191528791237432	0.999789400686269	-4.55370469659427
Brd3os	-0.111641362957701	1.6147141626014	-1.39945244744321	0.191581558507706	0.999789400686269	-4.5538680839163
S100a4	-0.218425735703088	3.03003759083883	-1.39932463006606	0.191618769338885	0.999789400686269	-4.55398327235415
Gm20683	0.183850183486642	2.20139683036673	1.39885530949245	0.191755452844614	0.999789400686269	-4.55440616972763
5830432E09Rik	0.111600765805446	0.483484009552368	1.39877454815363	0.191778981866879	0.999789400686269	-4.55447893422216
Hdgfl2	0.0657113959374579	4.42804630346111	1.39873770204866	0.191789717430451	0.999789400686269	-4.55451213108389
Gm35576	-0.0880003911473411	0.162431767849612	-1.39867955033915	0.191806661679164	0.999789400686269	-4.55456452241084
Kcnh5	0.178428595264265	3.16108617926938	1.39866515054288	0.191810857688723	0.999789400686269	-4.55457749559977
Gm20431	-0.391244098430706	0.7251516442377	-1.39859008518585	0.191832732519184	0.999789400686269	-4.55464512287862
Fam43b	0.0695960121249426	0.0815465322931504	1.39858523878225	0.191834144884577	0.999789400686269	-4.55464948898948
Zfp248	-0.127881776830126	2.23722777296086	-1.39834154765268	0.19190517405014	0.999789400686269	-4.55486901832815
Stmnd1	-0.0485092457415395	0.0561979499678228	-1.39792676748805	0.192026122161247	0.999789400686269	-4.5552426224356
Tmem198b	-0.147370732949704	3.3523664425983	-1.39790522122676	0.192032406723256	0.999789400686269	-4.55526202800326
Gm28497	-0.0848566766481171	0.11575489065033	-1.39780090381562	0.192062836241752	0.999789400686269	-4.55535597867925
Il1rl2	-0.167824015194447	2.06418929911523	-1.39759244341327	0.192123656643763	0.999789400686269	-4.55554371078144
Gm43185	-0.126253893063528	1.46243940241113	-1.39737881959052	0.192186000459096	0.999789400686269	-4.55573607605439
Gabrq	-0.235520290809675	0.867225511607358	-1.39731125705835	0.192205721425869	0.999789400686269	-4.55579691162693
Tmem181b-ps	0.122323907253436	3.1141260321192	1.39721088901198	0.192235021227976	0.999789400686269	-4.55588728323999
Slc5a3	-0.0844569436098904	7.23993400234667	-1.39721049999365	0.192235134798974	0.999789400686269	-4.55588763350565
Gm48591	0.0856282374019614	0.217644459295803	1.39691014259983	0.192322838869161	0.999789400686269	-4.55615805346043
Gm12919	0.0531682801703899	0.0306957993655736	1.39682145774516	0.192348741244322	0.999789400686269	-4.55623789241191
Samd14	-0.216616747449917	3.33619004516159	-1.39669551458537	0.19238553081208	0.999789400686269	-4.55635126827693
Rhobtb2	0.161653736891871	6.31394672871754	1.39654790789609	0.192428656155667	0.999789400686269	-4.55648413842436
Chrnb1	-0.172077359433092	1.78661493890884	-1.39641238151486	0.19246825928202	0.999789400686269	-4.55660612715136
Gm15938	-0.0592087047971764	0.13456161161545	-1.39641052684739	0.192468801295468	0.999789400686269	-4.55660779650953
Kctd5	-0.103300101038107	3.11822336627869	-1.39618992125593	0.192533280945095	0.999789400686269	-4.55680635109895
Qpctl	-0.114155640536727	2.14884320988099	-1.39614682298901	0.192545880047908	0.999789400686269	-4.55684513928229
Rasgrp2	0.141033677161877	3.21322937934138	1.39581476057153	0.192642976716059	0.999789400686269	-4.55714397019156
Isyna1	-0.215466544100936	3.01104978091875	-1.39573787444162	0.192665464507998	0.999789400686269	-4.55721315597963
Fam43a	-0.111885590387884	2.53648610043526	-1.39549639029853	0.192736108680258	0.999789400686269	-4.5574304404926
Ripply3	-0.184072126456323	2.26496367596985	-1.39544255189742	0.192751861646452	0.999789400686269	-4.55747888066125
Nrros	0.125156834774265	2.81108990436615	1.39540344507664	0.192763304877084	0.999789400686269	-4.55751406566577
Gdpd1	0.0870477403140531	2.1688710734443	1.39527221717086	0.192801708296801	0.999789400686269	-4.55763212923703
Rtl8c	0.131654374311754	1.29650893695016	1.39522382930644	0.19281587048317	0.999789400686269	-4.55767566137034
Rbbp7	0.0552317770923794	5.71667162263635	1.39476472182671	0.192950286154687	0.999789400686269	-4.55808865372564
Chfr	-0.0828291942449248	3.71933964202026	-1.39463276098273	0.192988935808871	0.999789400686269	-4.55820734514073
